"aspectUri","aspectNaamNL","aspectNaamEN"
"https://data.crow.nl/imv/def/723f3312-e286-4b9c-9662-940a829bd314","EindeSeizoen","SeasonEnd"
"https://data.crow.nl/imv/def/5cec33b6-8750-4015-bf92-1cbba191497d","StartSeizoen","SeasonStart"
"https://data.crow.nl/imv/def/3327af93-db0d-4995-b8aa-6d66a2f1cbcc","Voorrangsindicatie","PriorityIndication"
"https://data.crow.nl/imv/def/9a64c3ef-2498-4302-85a5-1a37ef71b15a","Voorrangssituatie","PrioritySituation"
"https://data.crow.nl/imv/def/0f07f690-579f-4ca5-85d8-b93db6e64a4f","IcoonPositienummer","IconPositionNumber"
"https://data.crow.nl/imv/def/ed7359c9-5202-425d-95ab-3952ce6e5538","VanToepassingOpVoertuigtype","AppliesToVehicleType"
"https://data.crow.nl/imv/def/d6686889-a8fe-4fec-acdb-220306683095","OpenOfGesloten","OpenOrClosed"
"https://data.crow.nl/imv/def/0ab50e75-7b79-4acc-8c8d-c123f6fbd2b8","Stilstaanindicatie","HaltingIndication"
"https://data.crow.nl/imv/def/3e0f8ae9-e998-4dad-b6a2-442ffca38a1a","Parkeerindicatie","ParkingIndication"
"https://data.crow.nl/imv/def/665bf536-856f-4c6b-827f-6b1c87ec79ac","RAL-Kleur","RAL-Color"
"https://data.crow.nl/imv/def/3a5df035-249d-4d3b-98c6-26c76c3a296a","SchildPositienummer","ShieldPositionNumber"
"https://data.crow.nl/imv/def/03e6eb5f-2cf9-4af5-8aa3-d13bf9723795","StartTijd","StartTime"
"https://data.crow.nl/imv/def/6b1daa89-0b62-4491-bec3-9ac55ea5bd37","WegvakfractieEinde","RoadFractionEnd"
"https://data.crow.nl/imv/def/0cefbd79-9c7b-412f-8edc-f2f7d2389d5f","Wegvakrichting","RoadSegmentDrivingDirecton"
"https://data.crow.nl/imv/def/61b3dd76-f8f2-4741-b10c-a80e9e8333b7","Strooknummer","LaneNumber"
"https://data.crow.nl/imv/def/e1283d10-5bd0-413e-b38b-782daab3fccf","WegvakfractieStart","RoadFractionStart"
"https://data.crow.nl/imv/def/3c3cb791-201e-42e3-aef9-85499204f97d","WegvakID","RoadSegmentID"
"https://data.crow.nl/imv/def/0351ee3c-91e3-4ab5-985a-e0b7b607cd9e","Handhavingsregime","EnforcementRegime"
"https://data.crow.nl/imv/def/6cde97e4-39ae-4a9b-abf6-8f3c9dc101f2","MaximumSnelheid","Speed"
"https://data.crow.nl/imv/def/5a48f645-b00d-4617-897a-aa2d4d816afb","Wegversmalling","RoadNarrowing"
"https://data.crow.nl/imv/def/61ed9476-369e-47ac-91d3-aa3fdb535e9f","ToegestaneRijrichting","PermittedRidingDirection"
"https://data.crow.nl/imv/def/07eee69c-ca68-4da4-9e62-913441124089","Startdatum","Start date"
"https://data.crow.nl/imv/def/f9d3a2ef-7e4e-4ebf-b68d-f59a29065746","Inhaalindicatie","OvertakingIndiciation"
"https://data.crow.nl/imv/def/3244bf78-c4f1-4c65-be39-9d2f26af3ecd","EindDatum","EndDate"
"https://data.crow.nl/imv/def/cd955485-8576-4843-a6e3-510752028c8f","Wegconditie","RoadCondition"
"https://data.crow.nl/imv/def/487f884d-d730-4d9f-a0ff-d4c135812384","BochtInDeWeg","CurveInTheRoad"
"https://data.crow.nl/imv/def/0b96f3e8-419e-42ea-8614-4f3d01c3401c","VerplichtGebruikWeg","ObligatoryUseRoad"
"https://data.crow.nl/imv/def/6b244512-29eb-4e71-8707-cac5924af3a2","Geo-oriëntatiehoek","OriëntationAngle"
"https://data.crow.nl/imv/def/a053b528-f23a-4e4b-abed-0840ecbc22a8","ObjectStatus","ObjectStatus"
"https://data.crow.nl/imv/def/0811ceb6-fe4f-494a-960f-d2bf9d2510a6","Voertuigemissiecategorie","VehicleEmissionCategory"
"https://data.crow.nl/imv/def/cd143f55-602b-429b-8901-a4dea97cc0e8","Zone","Zone"
"https://data.crow.nl/imv/def/d2c80db1-8ba3-4bfa-a8c4-3743db0bc86c","Wegvakfractie","RoadFraction"
"https://data.crow.nl/imv/def/7939084d-cda4-4cda-8c25-4b079cfd1152","BijzondereTijdsvoorwaarden","SpecialTimeConditions"
"https://data.crow.nl/imv/def/9abade8d-1320-4ccd-8077-91fe14fd1c93","DagenVanGeldigheid","DaysOfValidity"
"https://data.crow.nl/imv/def/ebbbb5a6-fe11-4814-9fd9-f008939a6366","Snelheidsregime","Speed regime"
"https://data.crow.nl/imv/def/1608b61d-58ef-44dc-9c78-3f8ca97edbe2","Eindtijd","EndTime"
"https://data.crow.nl/imv/def/cd18c940-57d1-4e26-8bbf-017358d0c6b6","TypeKruising","TypeOfCrossing"
"https://data.crow.nl/imv/def/8790a798-1324-44ee-9ea4-1bfaf7849b70","HellingspercentageWeg","RoadGradientValue"
"https://data.crow.nl/imv/def/e3876f24-3a22-4b46-9fce-53ce579fcdd1","Medeweggebruiker","FellowRoadUser"
"https://data.crow.nl/imv/def/b79f59b7-7bbb-422b-96bc-7a220ebd543a","VoertuigbreedteGroterDan","VehicleWidthGreaterThan"
"https://data.crow.nl/imv/def/e40d411c-fab5-40cb-baa1-a6e32302e6b9","Parkeervoorwaarde","ParkingCondition"
"https://data.crow.nl/imv/def/647ad2d6-5270-4c70-b052-c78940c4dca4","Hellingsrichting","HillDirection"
"https://data.crow.nl/imv/def/39e239fc-a58e-4fb4-95f5-aef7b5ff193e","TypeObstakel","TypeOfObstacle"
"https://data.crow.nl/imv/def/1470bc73-5271-4165-817e-ee4a495188b6","MaximaleParkeertijd","MaximumParkingDuration"
"https://data.crow.nl/imv/def/6faf624c-bc5b-49c7-a76d-73488df07d4b","Weerconditie","Weathercondition"
"https://data.crow.nl/imv/def/c899a30f-7bd4-418c-859b-35b724dfb133","VoertuigAslastSomGroterDan","GrossVehilcleWeightGreaterThan"
"https://data.crow.nl/imv/def/84a2bb30-b26f-4dbf-8eb5-682c7640d2f0","VoertuigaslastGroterDan","VehicleAxleLoadGreaterThan"
"https://data.crow.nl/imv/def/5fa9dd6c-7ddf-459a-9c7f-43f523aab2f3","VoertuiglengteGroterDan","VehicleLengthGreaterThan"
"https://data.crow.nl/imv/def/efdace5f-1cef-4859-9422-8aefb2830800","VoertuighoogteGroterDan","VehicleHeightGreaterThan"
"https://data.crow.nl/imv/def/e4c1cceb-b390-40c1-af10-4cda9ba0afc1","NaXMeter","AfterXMeters"